id,question
24,"Find the characteristic polynomial, eigenvalues, and basic eigenvectors for
\[
A = \begin{bmatrix}
2 & 0 & 0 \\
1 & 2 & -1 \\
1 & 3 & -2
\end{bmatrix}.
\]"
25,"Find an orthogonal matrix $P$ such that $P^{-1} A P$ is diagonal, where $A = \begin{bmatrix} 1 & 0 & -1 \\ 0 & 1 & -2 \\ -1 & 2 & 5 \end{bmatrix}$."
26,Orthogonally diagonalize the symmetric matrix $A = \begin{bmatrix} 8 & -2 & 2 \\ 2 & 5 & 4 \\ 2 & 4 & 5 \end{bmatrix}$.
27,"If possible, diagonalize the matrix and find an orthogonal basis in which it has diagonal form:
\[
A = \begin{bmatrix}
-1 & 2 & 2 \\
2 & -1 & 2 \\
2 & 2 & -1"
28,"Find the first two iterations of the Jacobi method for the following linear system, using \(\mathbf{x}^{(0)} = \mathbf{0}\):
\begin{align*}
4x_1 + x_2 - x_3 + x_4 &= -2, \\
x_1 + 4x_2 - x_3 - x_4 &= -1, \\
-x_1 - x_2 + 5x_3 + x_4 &= 0, \\
x_1 - x_2 + x_3 + 3x_4 &= 1.
\end{align*}"
29,"Find the first two iterations of the Gauss-Seidel method for the following linear system, using \(\mathbf{x}^{(0)} = \mathbf{0}\):
\begin{align*}
4x_1 + x_2 - x_3 + x_4 &= -2, \\
x_1 + 4x_2 - x_3 - x_4 &= -1, \\
-x_1 - x_2 + 5x_3 + x_4 &= 0, \\
x_1 - x_2 + x_3 + 3x_4 &= 1.
\end{align*}"
30,"\[
A = \begin{bmatrix}
1 & 2 & 4 & 3 \\
3 & 5 & 12 & 9 \\
2 & 4 & 8 & 6
\end{bmatrix}.
\]
find G-inverse of the matrix \( A \)"
31,"Find the Moore-Penrose inverse is to be obtained for the matrix \( A \) .
\[
A = \begin{bmatrix}
1 & 0 & 2 \\
0 & -1 & 1 \\
1 & 2 & 0
\end{bmatrix}.
\]"
32,"calculate all eigenvalues and all eigenvectors of the matrix $A
$
\[
A = \begin{pmatrix}
4 & -5 & 7 \\
1 & -4 & 9 \\
-4 & 0 & 5
\end{pmatrix}.
\]"
33,"calculate the QR decomposition of a matrix A

\[
A = \begin{pmatrix}
12 & -51 & 4 \\
6 & 167 & -68 \\
-4 & 24 & -41
\end{pmatrix}
\]"
34,"the given matrix $A$

\[
A = \begin{pmatrix} 5 & 1 & 0 \\ 1 & 6 & 3 \\ 0 & 3 & 7 \end{pmatrix}
\]

transformed to the similar tridiagonal matrix $A_1$ by using Householder Method. "
35,"the given matrix $A$ of the size 4-by-4

\[
A = \begin{pmatrix}
4 & 1 & -2 & 2 \\
1 & 2 & 0 & 1 \\
-2 & 0 & 3 & -2 \\
2 & 1 & -2 & -1
\end{pmatrix},
\]

is transformed to the similar tridiagonal matrix $A_2$ using Householder reflections."
36,"Find the Householder reflection to get the upper Hessenberg matrix from the matrix.

\[
A = \begin{pmatrix}
12 & -51 & 4 \\
6 & 167 & -68 \\
-4 & 24 & -41
\end{pmatrix}.
\]"
37,"apply  on the bidiagonal reduction of the matrix

\[
A = \begin{pmatrix}
4 & 4 &3 \\
3 & 6 & 1 \\
0 & 1 & 7
\end{pmatrix},
\]

using Householder transformation."
38,"apply  to make the tridiagonal reduction of the matrix

\[
A = \begin{pmatrix}
5 & 4 & 3 \\
4 & 6 & 1 \\
3 & 1 & 7
\end{pmatrix},
\]

using Householder transformation."
39,Find a singular value decomposition for $A = \begin{bmatrix} 1 & 0 & 1 \\ -1 & 1 & 0 \end{bmatrix}$.
40,"Find \( A^+ \) if \( A = \begin{bmatrix} 1 & 0 \\ 0 & 0 \\ 0 & 0 \end{bmatrix} \),
pseudoinverse of A
is the unique n � m
matrix \( A^+ \)."
41,"Consider the symmetric matrix
\[
S = \begin{pmatrix}
1 & 0 & 2 \\
0 & -1 & -2 \\
2 & -2 & 0
\end{pmatrix}.
\]

Find an orthogonal matrix \( Q \) and a diagonal matrix \( D \) such that \( S = Q D Q^T \).
"
42,"Compute the full SVD for the following matrix:
\[
A = \begin{bmatrix}
4 & 0 \\
3 & -5
\end{bmatrix}.
\]"
43,"Find the SVD of \( A \), \( U \Sigma V^T \), where \( A = \begin{pmatrix} 3 & 2 & 2 \\ 2 & -3 & -2 \end{pmatrix} \)"
44,"Let \( A = \begin{pmatrix}
1 & 1 & 0 & 0 \\
-1 & -1 & 0 & 0 \\
-2 & -2 & 2 & 1 \\
1 & 1 & -1 & 0
\end{pmatrix} ).

\begin{enumerate}
    Find Jordan canonical form \( J \) of \( A \) 
    and  invertible matrix \( S \) so that \( A = S J S^{-1} \) 
\end{enumerate}"
45,"Let \( W \subset \mathbb{R}^3 \) be the subspace spanned by \( w = (1, 1, 1) \). Let \( W^\perp \) be the orthogonal complement of \( W \). Let \( v = (1, 0, 1) \).
begin{enumerate}
    \item Find an orthonormal basis of \( W^\perp \),projection of \( v \) to \( W^\perp \) and  minimum \( \min_{w \in W^\perp} \|v - w\| \) "
46,"Find a singular value decomposition of \( A = \begin{pmatrix}
1 & -1 \\
-2 & 2 \\
2 & -2
\end{pmatrix} )."
47,"Find a singular value decomposition of
\[
A = \begin{pmatrix}
4 & 11 & 14 \\
8 & 7 & -2
\end{pmatrix}.
\]"
48,find a singular value decomposition of the matrix \( A = \begin{pmatrix} 1 & 2 \\ -1 & 2 \end{pmatrix} \). Notice that this matrix is not symmetric so it cannot be orthogonally diagonalized.
49,find a singular value decomposition for the symmetric matrix \( A = \begin{pmatrix} 1 & 2 \\ 2 & 1 \end{pmatrix} \). 
50,find a singular value decomposition of the matrix \( A = \begin{pmatrix} 2 & -2 & 1 \\ -4 & -8 & -8 \end{pmatrix} \)
51,"The matrix
\[
A = \begin{pmatrix}
1 + s & -s \\
s & 1 - s
\end{pmatrix}
\]
is given. Calculate \(p\) and \(q\) such that \(A^n = pA + qI\) and determine \(e^A\)."
52,"Calculate the inverse of the $n$-rowed square matrix $L$}

\[
L = \begin{bmatrix}
1 & & & 0 \\
-1/2 & 1 & \\
 & -2/3 &1& \\
 & \ddots \\
0 & & -(n-1)/n & 1
\end{bmatrix}
\]"
53,"Given the system of equations}

\[
\begin{bmatrix}
2 & 3 & 0 & 0 \\
2 & 4 & 1 & 0 \\
0 & 2 & 6 & A \\
0 & 0 & 4 & B
\end{bmatrix}
\begin{bmatrix}
x_1 \\
x_2 \\
x_3 \\
x_4
\end{bmatrix}
=
\begin{bmatrix}
1 \\
2 \\
4 \\
C
\end{bmatrix}
\]

State the solvability and uniqueness conditions for this system. Give the solution when it exists."
54,"We want to solve the tridiagonal system \(Ax = b\), where \(A\) is \((N-1) \times (N-1)\) and

\[
A = 
\begin{bmatrix}
-3 & 1 & & & \\
2 & -3 & 1 & & &0 \\
& 2 & -3 & 1 & \\
& \cdots& \cdots & \cdots &  \\
0& & & 2 & -3 & 1 \\
& & & & 2 & -3
\end{bmatrix},
\quad
b = 
\begin{bmatrix}
1 \\
0 \\
0 \\
\vdots \\
0 \\
0
\end{bmatrix}
\]

State the difference equation which replaces this matrix formulation of the problem, and find the solution."
55,"A = 
\begin{bmatrix}
5.5 & 0 & 0 & 0 & 0 & 3.5 \\
0 & 5.5 & 0 & 0 & 0 & 1.5 \\
0 & 0 & 6.25 & 0 & 3.75 & 0 \\
0 & 0 & 0 & 5.5 & 0 & 0.5 \\
0 & 0 & 3.75 & 0 & 6.25 & 0 \\
3.5 & 1.5 & 0 & 0.5 & 0 & 5.5
\end{bmatrix},
\quad
b = 
\begin{bmatrix}
1 \\
1 \\
1 \\
1 \\
1 \\
1
\end{bmatrix}
\]

     Find the lower triangular matrix \(L\) of the Cholesky factorization and solve the system \(Ax = b\).
    "
56,"Calculate \(C^T A^{-1} B\) when \(A = LL^T\), with}
\[
L = 
\begin{bmatrix}
1 & 0 \\
1 & 2 \\
1 & 2 & 3 \\
1 & 2 & 3 & 4
\end{bmatrix},
\quad
B = 
\begin{bmatrix}
1 & 2 & 3 & 4 \\
5 & 6 & 7 & 8 \\
9 & 10 & 11 & 12 \\
13 & 14 & 15 & 16
\end{bmatrix},
\quad
C = 
\begin{bmatrix}
1 \\
5 \\
14 \\
30
\end{bmatrix}.
\]"
57,"{ Find the inverse of the following \(n \times n\) matrix}
\[
A = 
\begin{bmatrix}
1 &  &  & & \\
x & 1 & &  & & 0 &\\
x^2 & x & 1 &  &  \\
x^3 & x^2 & x & 1 &  \\
\vdots &  & \vdots &  &  \\
x^{n-1} & x^{n-2} &  & \cdots & x^2 &x & 1
\end{bmatrix}.
\]"
58,"Find the inverse of the matrix}
\[
A = 
\begin{bmatrix}
2 & -1 &2 \\
-1 & 2 &-1\\
2 &-1 &3
\end{bmatrix}
\]
by the Cholesky method."
59,"Find the Cholesky factorization of}
\[
\begin{bmatrix}
1 & -1 & 0 & 0 & 0 \\
-1 & 2 & -1 & 0 & 0 \\
0 & -1 & 2 & -1 & 0 \\
0 & 0 & -1 & 2 & -1 \\
0 & 0 & 0 & -1 & 2
\end{bmatrix}.
\]"
60,"Determine the inverse of the matrix}
\[
\begin{bmatrix}
1 & 1 & 1 \\
4 & 3 & -1 \\
3 & 5 & 3
\end{bmatrix}
\]
using the partition method. Hence, find the solution of the system of equations
\begin{align*}
x_1 + x_2 + x_3 &= 1 \\
4x_1 + 3x_2 - x_3 &= 6 \\
3x_1 + 5x_2 + 3x_3 &= 4
\end{align*}"
61,"Find the inverse of the matrix}
\[
\begin{bmatrix}
2 & 1 & 0 & 0 \\
1 & 2 & 1 & 0 \\
0 & 1 & 2 & 1 \\
0 & 0 & 1 & 2
\end{bmatrix}
\]
by the partition method."
62,"Compute}
\[
\begin{bmatrix}
1 & 0.1 \\
0.1 & 1
\end{bmatrix}^{10}
\]
exactly."
63,"Compute \(A^{10}\) where}
\[
A = \frac{1}{9} \begin{bmatrix} 4 & 1 & -8 \\ 7 & 4 & 4 \\ 4 & -8 & 1 \end{bmatrix}.
\]"
64,"Compute \(\ln (I + \frac{1}{4} A) Y\) when}
\[
A = \begin{bmatrix} 1 & 1 \\ 1 & 1 \end{bmatrix} \quad \text{and} \quad Y = \begin{bmatrix} 1 \\ 2 \end{bmatrix},
\]
correct to four decimals."
65,"Consider the matrix}
\[
A = \begin{bmatrix}
2 & -1 & -1 & 1 \\
-1 & 2 & 1 & -1 \\
-1 & 1 & 2 & -1 \\
1 & -1 & -1 & 2
\end{bmatrix}.
\]
Determine the spectral norm \(\rho(A)\) and Determine a vector \(x\) with \(\|x\|_2 = 1\) satisfying \(\|A x\|_2 = \rho(A)\)."
66,"Determine the condition number of the matrix}
\[
A = \begin{bmatrix}
1 & 4 & 9 \\
4 & 9 & 16 \\
9 & 16 & 25
\end{bmatrix}
\]
using the maximum absolute row sum norm, and  spectral norm."
67,"Let \(A(\alpha) = \begin{bmatrix} 0.1\alpha & 0.1\alpha \\ 10 & 1.5 \end{bmatrix}\)}
Determine \(\alpha\) such that \(\text{cond}(A(\alpha))\) is minimized. Use the maximum norm."
68,"Estimate the effect of a disturbance $[\epsilon_1, \epsilon_2]^T$ on the right hand side of the system of equations}

\[
\begin{bmatrix}
1 & 2 \\
2 & -1
\end{bmatrix}
\begin{bmatrix}
x_1 \\
x_2
\end{bmatrix}
=
\begin{bmatrix}
5 \\
0
\end{bmatrix}
\]

if $|\epsilon_1|, |\epsilon_2| \leq 10^{-4}$."
69,"Solve the system

\begin{align*}
x_1 + 1.001x_2 &= 2.001 \\
x_1 + x_2 &= 2.
\end{align*}

Compute the residual $\mathbf{r} = A\mathbf{y} - \mathbf{b}$ for $\mathbf{y} = [2 \quad 0]^T$ and compare the relative size $\|\mathbf{x} - \mathbf{y}\| / \|\mathbf{x}\|$ of the error in the solution with the size $\|\mathbf{r}\| / \|\mathbf{b}\|$ of the residual relative to the right side."
70,"Given the system of equations $Ax = \mathbf{b}$ where}

\[
A = \begin{bmatrix}
1/2 & 1/3 & 1/4 \\
1/3 & 1/4 & 1/5 \\
1/4 & 1/5 & 1/6
\end{bmatrix}
\]

the vector $\mathbf{b}$ consists of three quantities measured with an error bounded by $\epsilon$. Derive
The components of $\mathbf{x}$ and The sum of the components $y = x_1 + x_2 + x_3$."
71,"Compute the spectral radius of the matrix $A^{-1}$ where}

\[
A = \begin{bmatrix}
0 & 1 & 0 & 0 & 0 & 0 \\
1 & 0 & 1 & 0 & 0 & 0 \\
0 & 1 & 0 & 1 & 0 & 0 \\
0 & 0 & 1 & 0 & 1 & 0 \\
0 & 0 & 0 & 1 & 0 & 1 \\
0 & 0 & 0 & 0 & 1 & 0
\end{bmatrix}
\]"
72,"Give a good upper estimate of the eigenvalues of the matrix \(A\) in the complex number plane. Also, give an upper estimate of the matrix norm of \(A\), which corresponds to the Euclidean vector norm}
\[
A = \begin{bmatrix}
-1 & 0 & 1 + 2i \\
0 & 2 & 1 - i \\
1 - 2i & 1 + i & 0
\end{bmatrix}
\]"
73,"\begin{enumerate}
     Let \( A = \begin{bmatrix} 1 & 1 \\ 1 & 1 \end{bmatrix} \), \( B = \begin{bmatrix} \beta_1 & 1 \\ 0 & \beta_2 \end{bmatrix} \). \\
    For which \(\beta_1, \beta_2\) does \((AB)^k \to 0\) as \( k \to \infty \)?
\end{enumerate}"
74,"Calculate \( f(A) = e^A - e^{-A} \), where \( A \) is the matrix
\[
\begin{bmatrix}
2 & 4 & 0 \\
6 & 0 & 8 \\
0 & 3 & -2
\end{bmatrix}
\]"
75,"The matrix
\[
A = \begin{bmatrix}
1 & -2 & 3 \\
6 & -13 & 18 \\
4 & -10 & 14
\end{bmatrix}
\]
is transformed to diagonal form by the matrix
\[
T = \begin{bmatrix}
1 & 0 & 1 \\
3 & 3 & 4 \\
2 & 2 & 3
\end{bmatrix},
\]
i.e., \( T^{-1} A T \).

Calculate the eigenvalues and the corresponding eigenvectors of \( A \)."
76,"Let
\[
A = \begin{bmatrix}
-2 & -1 & 2 \\
2 & 1 & 0 \\
0 & 0 & 1
\end{bmatrix}
\quad \text{and} \quad
B = \begin{bmatrix}
-1 & 1 & -1 \\
1 & -1 & 1 \\
-1 & 1 & -1
\end{bmatrix}.
\]
\(\lambda_i(\epsilon)\) are the eigenvalues of \(A + \epsilon B\), \(\epsilon \geq 0\).
Estimate \(|\lambda_i(\epsilon) - \lambda_i(0)|, i = 1, 2, 3\)."
77,"Use Gershgorin's theorem to estimate
\[
|\lambda_i - \tilde{\lambda}_i|, i = 1, 2, 3
\]
where \(\lambda_i\) are eigenvalues of
\[
A = \begin{bmatrix}
2 & 3/2 & 0 \\
1/2 & 1 & 0 \\
0 & 0 & -1
\end{bmatrix}
\]
and \(\tilde{\lambda}_i\) are eigenvalues of
\[
\tilde{A} = A + 10^{-2} \begin{bmatrix}
-1 & -1 & 1 \\
-1 & 1 & -1 \\
1 & -1 & 1
\end{bmatrix}.
\]"
78,"Given
\[
A = \begin{bmatrix}
3/2 & 1/2 \\
1/2 & 3/2
\end{bmatrix}.
\]

For which values of \(\alpha\) does the vector sequence \(\{y_n\}^\infty_{n=0}\) defined by
\[
y_n = (\mathbf{I} + \alpha A + \alpha^2 A^2) y_{n+1}, \quad n = 1, 2, \ldots
\]
\(y_0\) arbitrary, converges to 0 as \(n \to \infty\)?"
79,"The system \(\mathbf{Ax} = \mathbf{b}\) is to be solved, where \(\mathbf{A}\) is the fourth order Hilbert matrix, the elements of which are \(a_{ij} = 1/(i + j)\) and \(\mathbf{b}^T = (1 \, 1 \, 1 \, 1)\). Since \(\mathbf{A}\) is ill-conditioned, the matrix \(\mathbf{B}\), a close approximation to (the unknown) \(\mathbf{A}^{-1}\), is used to get an approximate solution \(\mathbf{x}_0 = \mathbf{Bb}\).

\[
\mathbf{B} = \begin{bmatrix}
202 & -1212 & 2121 & -1131 \\
-1212 & 8181 & -15271 & 8484 \\
2121 & -15271 & 29694 & -16968 \\
-1131 & 8484 & -16968 & 9898
\end{bmatrix}
\]

It is known that the given system has an integer solution, however \(\mathbf{x}_0\) is not the correct one. Use iterative improvement (with \(\mathbf{B}\) replacing \(\mathbf{A}^{-1}\)) to find the correct integer solution. "
80,"The system of equations \(\mathbf{Ax} = \mathbf{y}\), where
\[
\mathbf{A} = \begin{bmatrix} 3 & 2 \\ 1 & 2 \end{bmatrix}, \quad \mathbf{x} = \begin{bmatrix} x_1 \\ x_2 \end{bmatrix}, \quad \mathbf{y} = \begin{bmatrix} 1 \\ 2 \end{bmatrix}
\]
can be solved by the following iteration
\[
\mathbf{x}^{(n+1)} = \mathbf{x}^{(n)} + \alpha (\mathbf{A} \mathbf{x}^{(n)} - \mathbf{y}),
\]
\[
\mathbf{x}^{(0)} = \begin{bmatrix} 1 \\ 1 \end{bmatrix}.
\]

How should the parameter \(\alpha\) be chosen to produce optimal convergence? "
81,"Solve the system of equations
\begin{align*}
4x_1 + 2x_2 + x_3 &= 4 \\
x_1 + 3x_2 + x_3 &= 4 \\
3x_1 + 2x_2 + 6x_3 &= 7
\end{align*}
using the Gauss-Seidel method, directly and in error format. Perform three iterations using the initial approximation, \(\mathbf{x}^{(0)} = [0.1 \, 0.8 \, 0.5]^T\)."
82,"The system of equations \(\mathbf{Ax} = \mathbf{b}\) is to be solved iteratively by
\[
\mathbf{x}_{n+1} = \mathbf{Mx}_n + \mathbf{b}
\]


Suppose
\[
\mathbf{A} = \begin{bmatrix} 1 & k \\ 2k & 1 \end{bmatrix}, \quad k \neq \sqrt{2}/2, k \text{ real},
\]

Find a necessary and sufficient condition on \(k\) for convergence of the Jacobi method and For \(k = 0.25\) determine the optimal relaxation factor \(\omega\), if the system is to be solved with relaxation method."
83,"Given the matrix \(\mathbf{A} = \mathbf{I} + \mathbf{L} + \mathbf{U}\) where
\[
\mathbf{A} = \begin{bmatrix}
1 & 2 & -2 \\
1 & 1 & 1 \\
2 & 2 & 1
\end{bmatrix},
\]
\(\mathbf{L}\) and \(\mathbf{U}\) are strictly lower and upper triangular matrices respectively, decide whether
(a) Jacobi and  Gauss-Seidel methods converge to the solution of \(\mathbf{Ax} = \mathbf{b}\)."
84,"Solve the system of equations
\begin{align*}
2x - y &= 1 \\
-x + 2y - z &= 0 \\
-y + 2z - w &= 0 \\
-z + 2w &= 1
\end{align*}
using Gauss-Seidel iteration scheme with \(\mathbf{x}^{(0)} = [0.5 \, 0.5 \, 0.5 \, 0.5]^T\). Iterate three times. Obtain the iteration matrix and determine its eigenvalues. Use the extrapolation method and iterate three times. Compare the maximum absolute error and the rate of convergence of the methods."
85,"Determine the convergence factor for the Jacobi and Gauss-Seidel methods for the system
\[
\begin{bmatrix}
4 & 0 & 2 \\
0 & 5 & 2 \\
5 & 4 & 10
\end{bmatrix}
\begin{bmatrix}
x_1 \\
x_2 \\
x_3
\end{bmatrix}
=
\begin{bmatrix}
4 \\
-3 \\
2
\end{bmatrix}.
\]


and  This system can also be solved by the relaxation method. Determine \(\omega\) and write down the iteration formula exactly."
86,"The following system of equations is given
\begin{align*}
4x + y + 2z &= 4 \\
3x + 5y + z &= 7 \\
x + y + 3z &= 3
\end{align*}

 Set up the Jacobi and Gauss-Seidel iterative schemes for the solution and iterate three times starting with the initial vector $\mathbf{x}^{(0)} = 0$. Compare with the exact solution.

and  Find the spectral radii of the iteration matrices and hence find the rate of convergence of these schemes. (Use the Newton-Raphson method, to find the spectral radius of the iteration matrix of the Jacobi method)."
87,"Given a system of equations \( Ax = \mathbf{b} \) where}
\[
A = \begin{bmatrix}
2 & -1 & 0 & 0 & 0 \\
-1 & 2 & -1 & 0 & 0 \\
0 & -1 & 2 & -1 & 0 \\
0 & 0 & -1 & 2 & -1 \\
0 & 0 & 0 & -1 & 2 \\
\end{bmatrix}, \quad
\mathbf{b} = \begin{bmatrix}
1 \\
1 \\
1 \\
1 \\
1 \\
\end{bmatrix}
\]
Prove that the matrix \( A \) has 'property \( A' \) and find the optimum value of the relaxation factor \( \omega \) for the method of successive over-relaxation."
88,"The following system of equations is given}
\begin{align*}
3x + 2y &= 4.5 \\
2x + 3y - z &= 5 \\
-y + 2z &= -0.5
\end{align*}

Set up the SOR iteration scheme for the solution.
Find the optimal relaxation factor and determine the rate of convergence 

and Using the optimal relaxation factor, iterate five times with the above scheme with \(\mathbf{x}^{(0)} = 0\).}
(See above iterations)

and Taking this value of the optimal relaxation factor, iterate five times, using the error format of the SOR scheme, with \(\mathbf{x}^{(0)} = 0\). Compare with the exact solution."
89,"Using the Jacobi method find all the eigenvalues and the corresponding eigenvectors of the matrix}
\[
A = \begin{bmatrix}
1 & \sqrt{2} & 2 \\
\sqrt{2} & 3 & \sqrt{2} \\
2 & \sqrt{2} & 1
\end{bmatrix}
\]"
90,"Find all the eigenvalues and eigenvectors of the matrix}
\[
A = \begin{bmatrix}
2 & 3 & 1 \\
3 & 2 & 2 \\
1 & 2 & 1
\end{bmatrix}
\]
by the Jacobi method."
91,"Transform the matrix}
\[
M = \begin{bmatrix}
1 & 2 & 3 \\
2 & 1 & -1 \\
3 & -1 & 1
\end{bmatrix}
\]
to tridiagonal form by Given's method. Use exact arithmetic."
92,"Transform the matrix}
\[
A = \begin{bmatrix}
1 & 2 & 2 \\
2 & 1 & 2 \\
2 & 2 & 1
\end{bmatrix}
\]
to tridiagonal form by Given's method. Find the eigenvector corresponding to the largest eigenvalue from the eigenvectors of the tridiagonal matrix."
93,"Find all the eigenvalues of the matrix}
\[
\begin{bmatrix}
1 & 2 & -1 \\
2 & 1 & 2 \\
-1 & 2 & 1
\end{bmatrix}
\]
using the Householder method."
94,"Use the Householder's method to reduce the given matrix \( A \) into the tridiagonal form}
\[
A = \begin{bmatrix}
-4 & -1 & -2 & 2 \\
-1 & 4 & -1 & 2 \\
-2 & -1 & 4 & -1 \\
2 & -2 & -1 & 4
\end{bmatrix}
\]"
95,"Find approximately the eigenvalues of the matrix
\[
\begin{bmatrix}
3 & 1 \\
1 & 1
\end{bmatrix}
\]"
96,"Find the largest eigenvalue of the matrix
\[
A = \begin{bmatrix}
2 & 1 & 1 & 0 \\
1 & 1 & 0 & 1 \\
1 & 0 & 1 & 1 \\
0 & 1 & 1 & 2
\end{bmatrix}
\]
using power method."
97,"Determine the largest eigenvalue and the corresponding eigenvector of the matrix
\[
A = \begin{bmatrix}
4 & 1 & 0 \\
1 & 20 & 1 \\
0 & 1 & 4
\end{bmatrix}
\]
to 3 correct decimal places using the power method."
98,"Compute with an iterative method the greatest characteristic number \( \lambda \) of the matrix
\[
A = \begin{bmatrix}
0 & 0 & 1 & 1 & 0 \\
0 & 0 & 1 & 0 & 1 \\
1 & 1 & 0 & 0 & 1 \\
1 & 0 & 0 & 0 & 1 \\
0 & 1 & 1 & 1 & 0
\end{bmatrix}
\]
with four correct decimal places."
99,"Find the smallest eigenvalue in magnitude of the matrix
\[
A = \begin{bmatrix}
2 & -1 & 0 \\
-1 & 2 & -1 \\
0 & -1 & 2
\end{bmatrix}
\]
using four iterations of the inverse power method."
100,"Find the eigenvalue nearest to 3 for the matrix
\[
A = \begin{bmatrix}
2 & -1 & 0 \\
-1 & 2 & -1 \\
0 & -1 & 2
\end{bmatrix}
\]
using the power method. Perform five iterations. Take the initial approximate vector as \(\mathbf{v}^{(0)} = [1, \, 1, \, 1]^T\). Also obtain the corresponding eigenvector."
101,Calculate the determinant of $A = \begin{pmatrix} 2 & -3 & 1 \\ 4 & 0 & -2 \\ 1 & 5 & 3 \end{pmatrix}$ using cofactor expansion along the second row.
